Review
"enakk"" nya bank digitalnya asli mantap, saat ini lumayan oke ketikan menggunakannya, bebas iklan, bug & tidak lemot"",, jadi nyamanlah bertransaksi dan membuka-buka setiap detail dari fitur2nya. Tapi kadang jg aplikasinya agak-agak susah di oprasikan disaat jaringan yang digunakan lagi tidak bagus atau kurang maximal, jadi biasa loadingnya terlalu lama dan bisa kebuka jika koneksinya sudah stabil, mungkin cuman itu yg biasa terjadi saat di gunakan, selain itu appsnya berjalan dengan baik."
"enak betul aplikasinya,bank digital mantap, sekarang ini lumayan bagus ketika menggunakannya, gak ada ikaln, bug & tidak lemot, jadi nyamanlah bertransaksi dan membuka"" setiap detail dari menu2nya. Tapi terkadang juga aplikasinya agak-agak sulit di oprasikan di saat jaringan yang dipakai lagi tidak bagus atau kurang stabil, jd biasa loadingnya terlalu lama & bisa kebuka kalo koneksinya sudah normal, cuman hanya itu ajah sih sedikit masalah yang biasa trjadi pada apps ini, selain itu baiklah."
"bagus2 pokoknya dipake, iklan, bug, ataupun lemot tidak ada, baik mengoprasikan aplikasinya & menjelajahi semua fitur fiturnya. Tapi sayang sekali aplikasinya juga sesekali sangat sulit di akses yaitu ketika koneksi yang gunain lagi jelek / jaringan jelek, kadang loadingnya lambat sekali dan cuman berputar putar, aku kira itu ajah sih eror yang baisa terjadi pada aplikasi ini dan mnurutku untuk yang lainnya aplikasinya cukup bagus, sudah sangat membantu banget, dan smogah makin berkembang.."
"Enak2 debestlah bank digital ini komplit, saat ini lumayan nyaman ketika menggunakannya, bebas iklan, bug & tidak lemot, jadi nyamanlah bertransaksi dan membuka-buka setiap detail dari menu""nya. tapi kadang-kadang juga aplikasinya agak susah di oprasikan disaat jaringan yang pakai lagi tidak bagus atau kurang stabil, jadi biasa loadang agak lama dan bisa terbuka jika koneksinya sdh baik, cuman itu salahsatu kendala kecil yang biasa terjadi saat di gnakan, diluar itu appsnya bagus sangat berguna"
"enak betul"" appsnya mantap, sekarang ini lancar sekali ketika menggunakannya, tidak ada iklannya, bug & tidak lelet, jadi nyamanlah bertransaksi dan menjelajahi semua fitur-fiturnya. akan tetapi terkadang juga ada sedikit kendala dimana aplnya agak sulit di akses, ketika jaringan yg di gunakan lagi buruk atau lagi tidak stabil kadang agak berat masuknya, selain dari pada itu aplikasi meburutku perbankan online paling teraman di gunakan, dan bisa mnikmati fitur transfer ke smua bank dgn gratis"
"Enak2 👍banget digunain tanpa ada iklan, bug ataupun lelet-lelet, jadi senang menjelajahi semua menu menunya. Sayangnya aplikasunya juga kadang agak lambat loading ketika memakainya pada saat jaringa gak maximal alias jaringan pas pasan, hanya itu sih sedikit kendala yang biasa ada pada aplikasi ini, selain dari itu aplikasi paling aman dan trpercaya sebagai bank digital, setiap transaksinya hanya dalam hitungan detik, setiap transfer kesemua bank biaya adminnya tdk ada, smua free"
"enak enak bank ini mantap,saat ini lumayan bagus ketika menggunakan nya,ngga beriklan dan bug serta lemot,jadi puas bertransaksi dan membuka buka setiap detail dari menu menunya,tapi kadang juga apsnya agak agak susah dioperasikan saat jaringan yang digunakan lagi tidak bagus atau kurang stabil ya,jadi loadingannya agak lama dan bisa dibuka saat koneksinya sudah stabil,itu salah satu kendala kecil yang biasa terjadi saat mengoperasikan appsnya, selebihnya sudah sangat oke ya ."
"Optimalkan kembali aplikasi. Saya selalu mengalami perlambatan ketika akan memasukkan password, selalu delay ketika menekan tombol, meskipun ketika saya membuka aplikasi lain dengan menggunakan jaringan internet yang berbeda. Sekaligus juga tolong buat opsi ""pilih semua"" dalam bagian penghapusan notifikasi, agar saya tidak perlu menekan satu-persatu notifikasi promo untuk menghapusnya."
"enak banget aplikasi ini nyaman dipakainya, sekarang ini bagus ketika memakainya, jarang berikan bug dan lemot, jadi nyaman banget bertransaksi dan mengakses setiap detail dari fitur-fitur tersebut, namun terkadang aplikasinya agak sulit dijalankan ketika jaringan yang digunakan tidak maksimal atau tidak stabil, Jadi biasanya loadingnya terlalu lama dan kebuka kalau koneksinya sudah lancar, hanya itu aja masalah kecil yang ada di aplikasi ini untuk selebihnya semuanya sudah sangat baik.."
"SeaBank bagus sekali dan mudah digunakan. Tapi saya berharap ada fitur ""Edit Riwayat Transaksi"", sehingga pengguna bisa memberi ""Catatan"" kecil, bahwa uang keluar atau masuk tersebut digunakan untuk apa atau dari mana. Saya berharap kedepan ada fitur seperti itu jika memungkinkan."
"Bank digital paling sempurna banget ya,mudah dipakai dengan berbagai manfaat ya,simpel dan sangat rekomended dipakai menabung,puas banget dengan pelayanan yang terdapat disini, mudah mendaftar dan membuat akun disini jadi kita bisa melakukan berbagai transaksi secara mudah ya, apalagi aplikasi ini dilengkapi dengan berbagai fitur fitur yang sangat lengkap dan canggih yang dapat menunjang kinerja dari aplikasi ini sendiri, terbaik ya apalagi sangat rekomended banget seabank kawan."
"enak sekali appsnya mantap betul, sekarang ini lumayan enak ketika menggunaknnya, gak ada iklannya, bug atau lemot, jadi baguslah bertransaksi dan mengakses stiap detail dari menu menunya. Tapi terkadang juga secara tiba tiba aplnya, suka susah di oprasikan ketika jaringan yg digunakan kurang baik atau tidak stabil, tapi klo jaringannya lancar semua jadi enak masuknya. menurutku apl ini adalah apl perbankan online paling bagus, aman & terpercaya, free biaya transfer keseluruh bank & enables."
